original_number,isin,name,mic,market_code,currency,instrument_type,ticker_bloomberg,ticker_google,yf_symbol,exchange_name
4,BE0974264930,AGEAS NV/SA AGEAS,XETR,DEU-XETRA,EUR,STOCK,F04N:GR,NV/SA,F04N.DE,DEUTSCHE BÖRSE
5,CA0084741085,AGNICO EAGLE MINES AGNICO,XETR,DEU-XETRA,EUR,STOCK,AE9:GR,EAGLE,AE9.DE,DEUTSCHE BÖRSE
13,CA04045U1021,ARTIZIA,XETR,DEU-XETRA,EUR,STOCK,280:GR,ARTIZIA,280.DE,DEUTSCHE BÖRSE
18,IT0005244402,BANCA FARMAFACTORING SPA BANCA,XETR,DEU-XETRA,EUR,STOCK,2BF:GR,FARMAF,2BF.DE,DEUTSCHE BÖRSE
30,FR0000120503,BOUYGUES,XETR,DEU-XETRA,EUR,STOCK,BYG:GR,BOUYGUES,BYG.DE,DEUTSCHE BÖRSE
31,CA13321L1085,CAMECO CORPORATION CAMECO,XETR,DEU-XETRA,EUR,STOCK,CJ6:GR,CORP,CJ6.DE,DEUTSCHE BÖRSE
32,FR001400T0D6,CANAL+ CANAL+,XETR,DEU-XETRA,EUR,STOCK,CAN:GR,,CAN.DE,DEUTSCHE BÖRSE
36,CZ0005112300,CEZ AS CEZ,XETR,DEU-XETRA,EUR,STOCK,CEZ:GR,AS,CEZ.DE,DEUTSCHE BÖRSE
39,FR0000125007,COMPAGNIE DE SAINT-GOBAIN,XETR,DEU-XETRA,EUR,STOCK,COM:GR,COMPAGNIE,COM.DE,DEUTSCHE BÖRSE
45,JP3481800005,DAIKIN IND LTD DAIKIN,XETR,DEU-XETRA,EUR,STOCK,DKI:GR,IND,DKI.DE,DEUTSCHE BÖRSE
50,FR0014003TT8,DASSAULT SYSTEMES SA DASSAULT,XETR,DEU-XETRA,EUR,STOCK,DSY1:GR,SYS,DSY1.DE,DEUTSCHE BÖRSE
52,SG1L01001701,DBS GROUP DBS,XETR,DEU-XETRA,EUR,STOCK,DEVL:GR,GROUP,DEVL.DE,DEUTSCHE BÖRSE
53,CA24477V1058,DEFINIUM THERAPEUTICS INC DEFINIUM THR MMQ:F MMQ,XETR,DEU-XETRA,EUR,STOCK,,,,DEUTSCHE BÖRSE
61,DE0005552004,DEUTSCHE POST-RG DEUT,XETR,DEU-XETRA,EUR,STOCK,DPW:GR,POST-RG,DPW.DE,DEUTSCHE BÖRSE
65,AU000000DRO2,DRONESHIELD LTD DRONESHIELD,XETR,DEU-XETRA,EUR,STOCK,DRH:GR,LTD,DRH.DE,DEUTSCHE BÖRSE
69,PTEDP0AM0009,EDP- ENERGIAS DE PORTUGAL,XETR,DEU-XETRA,EUR,STOCK,EDP:GR,EDP,EDP.DE,DEUTSCHE BÖRSE
72,CA2926717083,ENERGY FUELS INC ENERGY,XETR,DEU-XETRA,EUR,STOCK,VO51:GR,FUELS,VO51.DE,DEUTSCHE BÖRSE
82,JP3818000006,FUJITSU LTD FUJITSU,XETR,DEU-XETRA,EUR,STOCK,FUJ1:GR,LTD,FUJ1.DE,DEUTSCHE BÖRSE
86,CA38149E1016,GOLDMINING INC,XETR,DEU-XETRA,EUR,STOCK,BSR:GR,GOLDMINING,BSR.DE,DEUTSCHE BÖRSE
92,NL0015002K83,HAVAS NV,XETR,DEU-XETRA,EUR,STOCK,JP7:GR,HAVAS,JP7.DE,DEUTSCHE BÖRSE
104,AT0000A21KS2,IMMOFINANZ AG,XETR,DEU-XETRA,EUR,STOCK,IMO1:GR,IMMOFINANZ,IMO1.DE,DEUTSCHE BÖRSE
109,NL0011821202,ING GROEP N.V. ING GROEP,XETR,DEU-XETRA,EUR,STOCK,INNA:GR,NV,INNA.DE,DEUTSCHE BÖRSE
110,LU2290522684,INPOST S.A.,XETR,DEU-XETRA,EUR,STOCK,669:GR,INPOST,669.DE,DEUTSCHE BÖRSE
112,CA46579R1047,IVANHOE MINES IVANHOE,XETR,DEU-XETRA,EUR,STOCK,IVN:GR,MINE,IVN.DE,DEUTSCHE BÖRSE
113,PTJMT0AE0001,JERONIMO MARTINS JERONIMO,XETR,DEU-XETRA,EUR,STOCK,JEM:GR,MAR,JEM.DE,DEUTSCHE BÖRSE
117,JP3236200006,KEYENCE CORP KEYENCE,XETR,DEU-XETRA,EUR,STOCK,KEE:GR,CORP,KEE.DE,DEUTSCHE BÖRSE
121,CZ0008019106,KOMERCNI BANKA AS KOMERCNIBANK,XETR,DEU-XETRA,EUR,STOCK,KONN:GR,,KONN.DE,DEUTSCHE BÖRSE
123,JP3249600002,KYOCERA CORP,XETR,DEU-XETRA,EUR,STOCK,KYRA:GR,KYOCERA,KYRA.DE,DEUTSCHE BÖRSE
128,FR001400TL40,LOUIS HACHETTE GROUP REIT LOUIS,XETR,DEU-XETRA,EUR,STOCK,ALHG:GR,HACHET,ALHG.DE,DEUTSCHE BÖRSE
130,CA58516W1041,MEGA URANIUM LTD MEGA URANIUM M6J :GR M6J,XETR,DEU-XETRA,EUR,STOCK,,,,DEUTSCHE BÖRSE
132,DE000BFB0019,METRO AG METRO,XETR,DEU-XETRA,EUR,STOCK,B4B:GR,AG,B4B.DE,DEUTSCHE BÖRSE
134,JP3898400001,MITSUBISHI CORP,XETR,DEU-XETRA,EUR,STOCK,MBI:GR,MITSUBISHI,MBI.DE,DEUTSCHE BÖRSE
137,NO0010081235,NEL ASA NEL,XETR,DEU-XETRA,EUR,STOCK,D7G:GR,ASA,D7G.DE,DEUTSCHE BÖRSE
139,FI0009013296,NESTE OYJ NESTE,XETR,DEU-XETRA,EUR,STOCK,NEF:GR,OYJ,NEF.DE,DEUTSCHE BÖRSE
142,DK0062498333,NOVO NORDISK NOVO,XETR,DEU-XETRA,EUR,STOCK,NVO:GR,NORDISK,NVO.DE,DEUTSCHE BÖRSE
143,JP3201200007,OLYMPUS CORP OLYMPUS,XETR,DEU-XETRA,EUR,STOCK,OLY1:GR,CORP,OLY1.DE,DEUTSCHE BÖRSE
147,DE000LED4000,OSRAM LICHT AG OSRAM,XETR,DEU-XETRA,EUR,STOCK,OSR:GR,LICHT,OSR.DE,DEUTSCHE BÖRSE
148,FI0009002422,OUTOKUMPU OYJ,XETR,DEU-XETRA,EUR,STOCK,OUTA:GR,OUTOKUMPU,OUTA.DE,DEUTSCHE BÖRSE
153,DE000A40AEG0,PENTIXAPHARM HOLDING AG PENTIXAPHARM PTPn:GR PTPn,XETR,DEU-XETRA,EUR,STOCK,,,,DEUTSCHE BÖRSE
163,CH1499059983,ROCHE HOLDING AG ROCHE,XETR,DEU-XETRA,EUR,STOCK,RHOA:GR,HOLDIN,RHOA.DE,DEUTSCHE BÖRSE
167,FR0000120578,SANOFI,XETR,DEU-XETRA,EUR,STOCK,SASY:GR,SANOFI,SASY.DE,DEUTSCHE BÖRSE
174,JP3358000002,SHIMANO INC SHIMANO,XETR,DEU-XETRA,EUR,STOCK,SHM:GR,INC,SHM.DE,DEUTSCHE BÖRSE
175,ZAE000259701,SIBANYE-STILLWATER LTD,XETR,DEU-XETRA,EUR,STOCK,47V:GR,SIBANYE,47V.DE,DEUTSCHE BÖRSE
183,JP3436100006,SOFTBANK GROUP CORP SOFTBANK,XETR,DEU-XETRA,EUR,STOCK,SFT:GR,GRP,SFT.DE,DEUTSCHE BÖRSE
184,SE0000113250,SKANSKA AB SKANSKA,XETR,DEU-XETRA,EUR,STOCK,SKNB:GR,AB,SKNB.DE,DEUTSCHE BÖRSE
185,NO0010096985,STATOIL ASA STATOIL,XETR,DEU-XETRA,EUR,STOCK,DNQ:GR,ASA,DNQ.DE,DEUTSCHE BÖRSE
188,FI0009005961,STORA ENSO OYJ STORA,XETR,DEU-XETRA,EUR,STOCK,ENUR:GR,ENSO,ENUR.DE,DEUTSCHE BÖRSE
191,JP3814800003,SUBARU CORP,XETR,DEU-XETRA,EUR,STOCK,FUH:GR,SUBARU,FUH.DE,DEUTSCHE BÖRSE
194,JP3397200001,SUZUKI MOTOR CORP,XETR,DEU-XETRA,EUR,STOCK,SKI:GR,SUZUKI,SKI.DE,DEUTSCHE BÖRSE
201,DE000A1J5RX9,TELEFONICA DEUTSCHLAND HOLDING AG TELEFON,XETR,DEU-XETRA,EUR,STOCK,O2D:GR,DEUT,O2D.DE,DEUTSCHE BÖRSE
203,SE0000667925,TELIA CO AB TELIA CO,XETR,DEU-XETRA,EUR,STOCK,TLS:GR,AB,TLS.DE,DEUTSCHE BÖRSE
205,DE000A12B8Z4,TLG IMMOBILIEN A TLG,XETR,DEU-XETRA,EUR,STOCK,TLG:GR,IMMOBIL,TLG.DE,DEUTSCHE BÖRSE
210,DE000UNSE026,UNIPER SE UNIPER,XETR,DEU-XETRA,EUR,STOCK,UN01:GR,SE,UN01.DE,DEUTSCHE BÖRSE
213,FR0013505062,VANTIVA SA,XETR,DEU-XETRA,EUR,STOCK,TNM1:GR,VANTIVA,TNM1.DE,DEUTSCHE BÖRSE
216,DK0061539921,VESTAS WIND SYSTEMS A-S VESTAS,XETR,DEU-XETRA,EUR,STOCK,VWS:GR,WS,VWS.DE,DEUTSCHE BÖRSE
220,AT0000937503,VOESTALPINE VOESTALPINE,XETR,DEU-XETRA,EUR,STOCK,VOE:GR,,VOE.DE,DEUTSCHE BÖRSE
223,SE0000115446,VOLVO,XETR,DEU-XETRA,EUR,STOCK,VOL1:GR,VOLVO,VOL1.DE,DEUTSCHE BÖRSE
227,JP3942600002,YAMAHA CORP,XETR,DEU-XETRA,EUR,STOCK,YHA:GR,YAMAHA,YHA.DE,DEUTSCHE BÖRSE
238,GB00BPQY8M80,AVIVA PLC AVIVA,XLON,GBR-LSE,GBP,STOCK,AV/:LN,PLC,AV/.L,LONDON STOCK EXCHANGE
240,GB0002634946,BAE SYSTEMS PLC BAE,XLON,GBR-LSE,GBP,STOCK,BA/:LN,SYSTEMS,BA/.L,LONDON STOCK EXCHANGE
243,GB0000811801,BARRATT DEVELOPMENTS PLC BARRATT,XLON,GBR-LSE,GBP,STOCK,BDEV:LN,DEV,BDEV.L,LONDON STOCK EXCHANGE
245,GB0007980591,BP PLC BP,XLON,GBR-LSE,GBP,STOCK,BP/:LN,PLC,BP/.L,LONDON STOCK EXCHANGE
249,GB0030913577,BT GROUP PLC BT GROUP,XLON,GBR-LSE,GBP,STOCK,BT/A:LN,PLC,BT/A.L,LONDON STOCK EXCHANGE
261,GB00BJFFLV09,CRODA INTERNATIONAL PLC CRODA,XLON,GBR-LSE,GBP,STOCK,CRDA:US,INTERN,CRDA,LONDON STOCK EXCHANGE
265,GB0003096442,ELECTROCOMPONENTS PLC ELECTROCOMPO,XLON,GBR-LSE,GBP,STOCK,ECM:LN,,ECM.L,LONDON STOCK EXCHANGE
275,GB0004052071,HALMA PLC HALMA,XLON,GBR-LSE,GBP,STOCK,HLMA:US,PLC,HLMA,LONDON STOCK EXCHANGE
293,GB00B0SWJX34,LONDON STOCK EXCHANGE LONDON,XLON,GBR-LSE,GBP,STOCK,LSE:LN,STOCK,LSE.L,LONDON STOCK EXCHANGE
294,GB00B4WFW713,LONDONMETRIC PROPERTY PLC LONDONMETRI LMPLLN LMPL,XLON,GBR-LSE,GBP,STOCK,,,,LONDON STOCK EXCHANGE
306,GB00B1Z4ST84,PROVIDENT FINANCIAL PLC,XLON,GBR-LSE,GBP,STOCK,PFG:LN,PROVIDENT,PFG.L,LONDON STOCK EXCHANGE
310,GB00B24CGK77,RECKITT BENCKISER GROUP PLC RECKITT,XLON,GBR-LSE,GBP,STOCK,RB/:LN,BENC,RB/.L,LONDON STOCK EXCHANGE
314,GB00B63H8491,ROLLS-ROYCE HOLDING PLC ROLLS-ROYCE,XLON,GBR-LSE,GBP,STOCK,RR/:LN,,RR/.L,LONDON STOCK EXCHANGE
322,GB0009223206,SMITH & NEPHEW PLC SMITH&NEPHEW,XLON,GBR-LSE,GBP,STOCK,SN/:LN,,SN/.L,LONDON STOCK EXCHANGE
328,GB0008782301,TAYLOR WIMPEY PLC TAYLORWIMPEY,XLON,GBR-LSE,GBP,STOCK,TW/:LN,,TW/.L,LONDON STOCK EXCHANGE
334,GB00B39J2M42,UNITED UTILITIES PLC UNITED,XLON,GBR-LSE,GBP,STOCK,UU/:LN,UTILI,UU/.L,LONDON STOCK EXCHANGE
369,US0185811082,ALLIANCE DATA ALLIANCEDATA,XNYS,USA-NYSE,USD,STOCK,ADS:US,,ADS,NEW YORK STOCK EXCHANGE
373,US02156K1034,ALTICE USA INC ALTICE,XNYS,USA-NYSE,USD,STOCK,ATUS:US,USA,ATUS,NEW YORK STOCK EXCHANGE
376,US0231931058,AMBIQ MICRO,XNYS,USA-NYSE,USD,STOCK,AMB:US,AMBIQ,AMB,NEW YORK STOCK EXCHANGE
395,US0367521038,ANTHEM INC ANTHEM,XNYS,USA-NYSE,USD,STOCK,ANTM:US,INC,ANTM,NEW YORK STOCK EXCHANGE
429,US0584981064,BALL CORP BALL,XNYS,USA-NYSE,USD,STOCK,BLL:US,CORP,BLL,NEW YORK STOCK EXCHANGE
441,US0846701086,BERKSHIRE HATHAWAY INC-CLASS A,XNYS,USA-NYSE,USD,STOCK,BRK/A:US,BRK.A,BRK/A,NEW YORK STOCK EXCHANGE
442,US0846707026,BERKSHIRE HATHAWAY INC-CLASS B,XNYS,USA-NYSE,USD,STOCK,BRK/B:US,BERKSHIRE,BRK/B,NEW YORK STOCK EXCHANGE
462,US1101221083,BRISTOL-MYER SQB BRISTOL-MYER BMY US BMY,XNYS,USA-NYSE,USD,STOCK,,,,NEW YORK STOCK EXCHANGE
468,US1156372096,BROWN-FORMAN-B BROWN-FORMAN,XNYS,USA-NYSE,USD,STOCK,BF/B:US,,BF/B,NEW YORK STOCK EXCHANGE
485,CA1378002077,CANNTRUST HOLDING INC,XNYS,USA-NYSE,USD,STOCK,CTST:US,CANNTRUST,CTST,NEW YORK STOCK EXCHANGE
502,US15677J1088,CERIDIAN HCM HOLDING INC CERIDIAN,XNYS,USA-NYSE,USD,STOCK,CDAY:US,HCM,CDAY,NEW YORK STOCK EXCHANGE
553,US26740W1099,D WAVE QUANTUM D,XNYS,USA-NYSE,USD,STOCK,DWAV:US,WAVE,DWAV,NEW YORK STOCK EXCHANGE
619,BMG3223R1088,EVEREST RE GROUP LTD EVEREST,XNYS,USA-NYSE,USD,STOCK,RE:US,RE,RE,NEW YORK STOCK EXCHANGE
628,KY30744W1070,FARFETCH LTD,XNYS,USA-NYSE,USD,STOCK,FTCH:US,FARFETCH,FTCH,NEW YORK STOCK EXCHANGE
631,US3142111034,FEDERATED INVESTORS INC FEDERATEDINV,XNYS,USA-NYSE,USD,STOCK,FII:US,,FII,NEW YORK STOCK EXCHANGE
650,US34964C1062,FORTUNE BRANDS HOME & SECURITY INC FORTUNEBRAND,XNYS,USA-NYSE,USD,STOCK,FBHS:US,,FBHS,NEW YORK STOCK EXCHANGE
656,US3026352068,FS KKR FS,XNYS,USA-NYSE,USD,STOCK,FS:US,KKR,FS,NEW YORK STOCK EXCHANGE
658,US3647601083,GAP INC,XNYS,USA-NYSE,USD,STOCK,GPS:US,GAP,GPS,NEW YORK STOCK EXCHANGE
676,CA39115V3092,GREAT PANTHER MINING LTD GREATPANTHER,XNYS,USA-NYSE,USD,STOCK,GPL:US,,GPL,NEW YORK STOCK EXCHANGE
707,US4432011082,HOWMET AEROSPACE INC HOWMET,XNYS,USA-NYSE,USD,STOCK,HHC:US,AEROS,HHC,NEW YORK STOCK EXCHANGE
731,GB00BVG7F061,INTERNATIONAL GAME TECHNOLOGY INT,XNYS,USA-NYSE,USD,STOCK,IGT:US,GAMETECH,IGT,NEW YORK STOCK EXCHANGE
744,US4778391049,JOHN BEAN TECHNOLOGIES CORP JOHN BEAN,XNYS,USA-NYSE,USD,STOCK,JBT:US,TE,JBT,NEW YORK STOCK EXCHANGE
749,US48238T1097,KAR AUCTION SERVICES INC KAR,XNYS,USA-NYSE,USD,STOCK,KAR:US,AUCTION,KAR,NEW YORK STOCK EXCHANGE
759,US49714P1084,KINSALE CAPITAL GROUP INC,XNYS,USA-NYSE,USD,STOCK,KIN:US,KINSALE,KIN,NEW YORK STOCK EXCHANGE
